Вінницька область,2019,144.23991354466858
Вінницька область,2020,146.20389221556886
Волинська область,2019,149.56386109476162
Волинська область,2020,148.96810126582278
Дніпропетровська область,2019,142.99923053247153
Дніпропетровська область,2020,144.85338535112007
Донецька область,2019,140.4481783919598
Донецька область,2020,141.36549554273728
Житомирська область,2019,143.83604273107292
Житомирська область,2020,144.39955849889625
Закарпатська область,2019,144.5795321637427
Закарпатська область,2020,145.9906191369606
Запорізька область,2019,142.60159589626673
Запорізька область,2020,144.5565588161525
Івано-Франківська область,2019,147.4247191011236
Івано-Франківська область,2020,150.52987637362637
Київська область,2019,142.86321573163679
Київська область,2020,145.91774409273296
Кіровоградська область,2019,144.67006369426753
Кіровоградська область,2020,145.68967517401393
Луганська область,2019,139.09641873278238
Луганська область,2020,139.96771826852532
Львівська область,2019,150.2844141069397
Львівська область,2020,151.88374012498525
м.Київ,2019,155.56889665501748
м.Київ,2020,155.24991408344215
Миколаївська область,2019,141.5262076053443
Миколаївська область,2020,142.27517909818795
Одеська область,2019,143.77983606557376
Одеська область,2020,145.11108270484468
Полтавська область,2019,146.13096234309623
Полтавська область,2020,146.50914205344586
Рівненська область,2019,144.7703003337041
Рівненська область,2020,147.69812145041502
Сумська область,2019,143.9053185271771
Сумська область,2020,145.6422722620266
Тернопільська область,2019,146.60951834862385
Тернопільська область,2020,150.119855269109
Харківська область,2019,146.7584752909428
Харківська область,2020,148.03395268012298
Херсонська область,2019,141.58693115519253
Херсонська область,2020,143.06940063091483
Хмельницька область,2019,145.36795383932534
Хмельницька область,2020,145.77935943060498
Черкаська область,2019,144.3377001455604
Черкаська область,2020,146.88416666666666
Чернівецька область,2019,150.23596673596674
Чернівецька область,2020,149.7109144542773
Чернігівська область,2019,143.9790772532189
Чернігівська область,2020,148.03497164461248
